generated_path,target_path,psnr,ssim,lpips,nmi
generated_by_model\subject01\gen_drr036.png,data\deepfluoro\subject01\DRRs_bone_png\drr036_bone.png,38.900665283203125,0.9686063278226852,0.006039211060851812,0.6451753274952515
generated_by_model\subject01\gen_drr037.png,data\deepfluoro\subject01\DRRs_bone_png\drr037_bone.png,37.51649475097656,0.9775736565899849,0.007772501092404127,0.6665434206163142
generated_by_model\subject01\gen_drr038.png,data\deepfluoro\subject01\DRRs_bone_png\drr038_bone.png,36.735836029052734,0.9758597281451226,0.007895181886851788,0.6768948475577182
generated_by_model\subject01\gen_drr039.png,data\deepfluoro\subject01\DRRs_bone_png\drr039_bone.png,38.440155029296875,0.9790926267547607,0.00668736407533288,0.6711162498124361
generated_by_model\subject01\gen_drr040.png,data\deepfluoro\subject01\DRRs_bone_png\drr040_bone.png,37.6728630065918,0.9747204964916706,0.007022501900792122,0.6668097366913363
generated_by_model\subject01\gen_drr041.png,data\deepfluoro\subject01\DRRs_bone_png\drr041_bone.png,36.94868469238281,0.9826081998827457,0.005457228980958462,0.6738142098344082
generated_by_model\subject01\gen_drr042.png,data\deepfluoro\subject01\DRRs_bone_png\drr042_bone.png,39.11299514770508,0.9836428688545227,0.005480481777340174,0.6713709768556367
generated_by_model\subject01\gen_drr043.png,data\deepfluoro\subject01\DRRs_bone_png\drr043_bone.png,35.6971435546875,0.9850564819984436,0.006283661816269159,0.6639864677448346
generated_by_model\subject01\gen_drr044.png,data\deepfluoro\subject01\DRRs_bone_png\drr044_bone.png,34.416587829589844,0.9848947336034775,0.00662703812122345,0.6644121549858227
generated_by_model\subject01\gen_drr045.png,data\deepfluoro\subject01\DRRs_bone_png\drr045_bone.png,37.58317184448242,0.9840574453706742,0.004596416372805834,0.6836160487962989
generated_by_model\subject01\gen_drr046.png,data\deepfluoro\subject01\DRRs_bone_png\drr046_bone.png,34.34722137451172,0.9801656831741333,0.0072975256480276585,0.6585099833550911
generated_by_model\subject01\gen_drr047.png,data\deepfluoro\subject01\DRRs_bone_png\drr047_bone.png,37.98707580566406,0.9803699815750122,0.00726409861817956,0.6542015824089319
generated_by_model\subject01\gen_drr048.png,data\deepfluoro\subject01\DRRs_bone_png\drr048_bone.png,36.32454299926758,0.9780174149613381,0.006293143145740032,0.663224073746865
generated_by_model\subject01\gen_drr049.png,data\deepfluoro\subject01\DRRs_bone_png\drr049_bone.png,36.77009582519531,0.9797371597824097,0.006086114794015884,0.6712857781968607
generated_by_model\subject01\gen_drr050.png,data\deepfluoro\subject01\DRRs_bone_png\drr050_bone.png,39.20531463623047,0.9784742869429588,0.007151964586228132,0.6389282922712846
generated_by_model\subject01\gen_drr051.png,data\deepfluoro\subject01\DRRs_bone_png\drr051_bone.png,37.84321975708008,0.9860983120632172,0.006711521185934544,0.6659928660710093
generated_by_model\subject01\gen_drr052.png,data\deepfluoro\subject01\DRRs_bone_png\drr052_bone.png,36.707340240478516,0.9853225510482788,0.005978485569357872,0.6675272072052024
generated_by_model\subject01\gen_drr053.png,data\deepfluoro\subject01\DRRs_bone_png\drr053_bone.png,33.97562026977539,0.9648185535583496,0.010062234476208687,0.6375833265633637
generated_by_model\subject01\gen_drr054.png,data\deepfluoro\subject01\DRRs_bone_png\drr054_bone.png,35.35942840576172,0.9712271847772598,0.009651546366512775,0.6390268230211794
generated_by_model\subject01\gen_drr055.png,data\deepfluoro\subject01\DRRs_bone_png\drr055_bone.png,33.967918395996094,0.9772609376087189,0.009647390805184841,0.6573334088036128
generated_by_model\subject01\gen_drr056.png,data\deepfluoro\subject01\DRRs_bone_png\drr056_bone.png,37.279319763183594,0.9800727527112961,0.006575560197234154,0.6659009430572623
generated_by_model\subject01\gen_drr057.png,data\deepfluoro\subject01\DRRs_bone_png\drr057_bone.png,35.41706848144531,0.976066255352974,0.007195387035608292,0.6506444330595267
generated_by_model\subject01\gen_drr058.png,data\deepfluoro\subject01\DRRs_bone_png\drr058_bone.png,35.58102035522461,0.9806148266539574,0.006807785481214523,0.6539596058897527
generated_by_model\subject01\gen_drr059.png,data\deepfluoro\subject01\DRRs_bone_png\drr059_bone.png,36.06632995605469,0.9789307996902465,0.007343833800405264,0.6600518421177325
generated_by_model\subject01\gen_drr060.png,data\deepfluoro\subject01\DRRs_bone_png\drr060_bone.png,29.92581558227539,0.9758586615400314,0.00973900593817234,0.6545835880465968
generated_by_model\subject01\gen_drr061.png,data\deepfluoro\subject01\DRRs_bone_png\drr061_bone.png,36.36288070678711,0.9830082633752822,0.0071756355464458466,0.6558047913760071
generated_by_model\subject01\gen_drr062.png,data\deepfluoro\subject01\DRRs_bone_png\drr062_bone.png,36.167015075683594,0.9787192256617546,0.007272733375430107,0.6472208052821852
generated_by_model\subject01\gen_drr063.png,data\deepfluoro\subject01\DRRs_bone_png\drr063_bone.png,38.192771911621094,0.9826850564146042,0.0065475995652377605,0.6552611859982221
generated_by_model\subject01\gen_drr064.png,data\deepfluoro\subject01\DRRs_bone_png\drr064_bone.png,37.172813415527344,0.9853277727222443,0.005538038909435272,0.660709135678664
generated_by_model\subject01\gen_drr065.png,data\deepfluoro\subject01\DRRs_bone_png\drr065_bone.png,37.512393951416016,0.9839717180981636,0.00620272196829319,0.6593239987395797
generated_by_model\subject01\gen_drr066.png,data\deepfluoro\subject01\DRRs_bone_png\drr066_bone.png,36.39194107055664,0.9822838229017258,0.005772087723016739,0.681206608451097
generated_by_model\subject01\gen_drr067.png,data\deepfluoro\subject01\DRRs_bone_png\drr067_bone.png,38.28944396972656,0.9819356318721771,0.005853535607457161,0.6669418929814112
generated_by_model\subject01\gen_drr068.png,data\deepfluoro\subject01\DRRs_bone_png\drr068_bone.png,40.13484191894531,0.9871489015932083,0.003983676433563232,0.6735408410752476
generated_by_model\subject01\gen_drr069.png,data\deepfluoro\subject01\DRRs_bone_png\drr069_bone.png,38.50140380859375,0.9808081392202377,0.005804378539323807,0.6470230796913389
generated_by_model\subject01\gen_drr070.png,data\deepfluoro\subject01\DRRs_bone_png\drr070_bone.png,37.13917541503906,0.9662640726222992,0.006592490244656801,0.6608728530884465
generated_by_model\subject01\gen_drr071.png,data\deepfluoro\subject01\DRRs_bone_png\drr071_bone.png,38.698638916015625,0.9743987671384812,0.006720835343003273,0.6721257108013468
generated_by_model\subject01\gen_drr072.png,data\deepfluoro\subject01\DRRs_bone_png\drr072_bone.png,37.596500396728516,0.9704137393150329,0.00646228576079011,0.6755404409931685
